prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.2,0.0,0.105,0.0,0.105
0.0,0.25,0.0,0.124,0.0,0.124
0.0,0.3,0.0,0.15666666666666668,0.0,0.15666666666666668
0.0,0.35,0.0,0.1742857142857143,0.0,0.1742857142857143
0.0,0.4,0.0,0.155,0.0,0.155
0.0,0.45,0.0,0.13777777777777778,0.0,0.13777777777777778
0.0,0.5,0.0,0.124,0.0,0.124
0.0,0.55,0.0,0.11272727272727273,0.0,0.11272727272727273
0.0,0.6,0.0,0.10333333333333333,0.0,0.10333333333333333
0.0,0.65,0.0,0.09538461538461539,0.0,0.09538461538461539
0.0,0.7,0.0,0.08857142857142856,0.0,0.08857142857142856
0.0,0.75,0.0,0.08266666666666667,0.0,0.08266666666666667
0.0,0.8,0.0,0.0775,0.0,0.0775
0.0,0.85,0.0,0.07294117647058823,0.0,0.07294117647058823
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.12,0.0,0.12
0.0,0.1,0.0,0.14,0.0,0.14
0.0,0.15,0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.2,0.0,0.16,0.0,0.16
0.0,0.25,0.0,0.152,0.0,0.152
0.0,0.3,0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.35,0.0,0.19142857142857142,0.0,0.19142857142857142
0.0,0.4,0.0,0.1675,0.0,0.1675
0.0,0.45,0.0,0.14888888888888888,0.0,0.14888888888888888
0.0,0.5,0.0,0.134,0.0,0.134
0.0,0.55,0.0,0.12181818181818181,0.0,0.12181818181818181
0.0,0.6,0.0,0.11166666666666666,0.0,0.11166666666666666
0.0,0.65,0.0,0.10307692307692308,0.0,0.10307692307692308
0.0,0.7,0.0,0.09571428571428571,0.0,0.09571428571428571
0.0,0.75,0.0,0.08933333333333333,0.0,0.08933333333333333
0.0,0.8,0.0,0.08375,0.0,0.08375
0.0,0.85,0.0,0.07882352941176471,0.0,0.07882352941176471
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.04,0.0,0.04
0.0,0.1,0.0,0.09,0.0,0.09
0.0,0.15,0.0,0.11333333333333333,0.0,0.11333333333333333
0.0,0.2,0.0,0.125,0.0,0.125
0.0,0.25,0.0,0.128,0.0,0.128
0.0,0.3,0.0,0.14333333333333334,0.0,0.14333333333333334
0.0,0.35,0.0,0.14,0.0,0.14
0.0,0.4,0.0,0.1225,0.0,0.1225
0.0,0.45,0.0,0.10888888888888888,0.0,0.10888888888888888
0.0,0.5,0.0,0.098,0.0,0.098
0.0,0.55,0.0,0.0890909090909091,0.0,0.0890909090909091
0.0,0.6,0.0,0.08166666666666667,0.0,0.08166666666666667
0.0,0.65,0.0,0.07538461538461538,0.0,0.07538461538461538
0.0,0.7,0.0,0.07,0.0,0.07
0.0,0.75,0.0,0.06533333333333333,0.0,0.06533333333333333
0.0,0.8,0.0,0.06125,0.0,0.06125
0.0,0.85,0.0,0.058823529411764705,0.0,0.058823529411764705
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.08,0.0,0.08
0.0,0.1,0.0,0.15,0.0,0.15
0.0,0.15,0.0,0.15333333333333332,0.0,0.15333333333333332
0.0,0.2,0.0,0.165,0.0,0.165
0.0,0.25,0.0,0.172,0.0,0.172
0.0,0.3,0.0,0.19333333333333333,0.0,0.19333333333333333
0.0,0.35,0.0,0.19714285714285715,0.0,0.19714285714285715
0.0,0.4,0.0,0.18,0.0,0.18
0.0,0.45,0.0,0.16,0.0,0.16
0.0,0.5,0.0,0.144,0.0,0.144
0.0,0.55,0.0,0.13090909090909092,0.0,0.13090909090909092
0.0,0.6,0.0,0.12,0.0,0.12
0.0,0.65,0.0,0.11076923076923077,0.0,0.11076923076923077
0.0,0.7,0.0,0.10285714285714286,0.0,0.10285714285714286
0.0,0.75,0.0,0.096,0.0,0.096
0.0,0.8,0.0,0.09,0.0,0.09
0.0,0.85,0.0,0.08470588235294117,0.0,0.08470588235294117
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.04,0.0,0.04
0.0,0.1,0.0,0.05,0.0,0.05
0.0,0.15,0.0,0.09333333333333334,0.0,0.09333333333333334
0.0,0.2,0.0,0.115,0.0,0.115
0.0,0.25,0.0,0.116,0.0,0.116
0.0,0.3,0.0,0.11,0.0,0.11
0.0,0.35,0.0,0.14285714285714285,0.0,0.14285714285714285
0.0,0.4,0.0,0.145,0.0,0.145
0.0,0.45,0.0,0.1288888888888889,0.0,0.1288888888888889
0.0,0.5,0.0,0.116,0.0,0.116
