hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.2222222222222222,0.15555555555555556,0.16,0.0,0.7777777777777778,0.16,0.0
0.2222222222222222,0.15555555555555556,0.06,0.02,0.7777777777777778,0.08,0.4499999999999999
0.2222222222222222,0.15555555555555556,0.04,0.0,0.7777777777777778,0.04,0.0
0.2222222222222222,0.15555555555555556,0.04,0.02,0.7777777777777778,0.06,0.4499999999999999
0.2222222222222222,0.15555555555555556,0.22,0.02,0.7777777777777778,0.24,0.4499999999999999
0.2222222222222222,0.15555555555555556,0.1,0.02,0.7777777777777778,0.12000000000000001,0.4499999999999999
0.2222222222222222,0.15555555555555556,0.04,0.02,0.7777777777777778,0.06,0.4499999999999999
0.2222222222222222,0.17777777777777778,0.12,0.0,0.8888888888888888,0.12,0.0
0.2222222222222222,0.17777777777777778,0.02,0.04,0.8888888888888888,0.06,1.7999999999999996
0.2222222222222222,0.17777777777777778,0.08,0.02,0.8888888888888888,0.1,0.8999999999999998
0.2222222222222222,0.17777777777777778,0.12,0.0,0.8888888888888888,0.12,0.0
0.2222222222222222,0.17777777777777778,0.06,0.02,0.8888888888888888,0.08,0.8999999999999998
0.2222222222222222,0.17777777777777778,0.04,0.0,0.8888888888888888,0.04,0.0
0.2222222222222222,0.17777777777777778,0.06,0.0,0.8888888888888888,0.06,0.0
0.2222222222222222,0.17777777777777778,0.14,0.02,0.8888888888888888,0.16,0.8999999999999998
0.2222222222222222,0.17777777777777778,0.08,0.0,0.8888888888888888,0.08,0.0
0.2222222222222222,0.17777777777777778,0.08,0.0,0.8888888888888888,0.08,0.0
0.2222222222222222,0.2,0.12,0.0,1.0,0.12,
0.2222222222222222,0.2,0.12,0.0,1.0,0.12,
0.2222222222222222,0.2,0.14,0.0,1.0,0.14,
0.2222222222222222,0.2,0.12,0.0,1.0,0.12,
0.2222222222222222,0.2,0.08,0.0,1.0,0.08,
0.2222222222222222,0.2,0.04,0.0,1.0,0.04,
0.2222222222222222,0.2,0.08,0.0,1.0,0.08,
0.2222222222222222,0.2,0.08,0.0,1.0,0.08,
0.2222222222222222,0.2,0.08,0.0,1.0,0.08,
0.2222222222222222,0.2,0.1,0.0,1.0,0.1,
